,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.37,21.39,21.51,46.2,46.4,21.87,21.8,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/31/2023,12,35,11,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,13960,16480,18120,17360,15800,16880,21760,15520,12200,22400,33400,14080,15680,21680,46800,19760,18800,27160,32640,66600,41320,158960,3200,235320,,,,,,,,,,,,
6,17680,15400,16200,16160,16240,13880,35280,8560,13840,14000,18320,15000,12960,7320,16600,19680,16360,20720,64520,24440,69920,13800,2400,258840,,,,,,,,,,,,
7,16280,15440,37800,16640,15080,17080,17160,36360,14960,15800,34560,13920,41600,16120,10400,15320,42240,24680,19880,19080,17520,25880,1800,187040,,,,,,,,,,,,
8,14000,35840,24520,30480,14840,15240,15920,24960,13360,12960,36200,14840,17080,15440,11120,15760,16440,15320,17880,17200,18400,13040,2000,203400,,,,,,,,,,,,
9,16720,33160,16160,13640,22520,13760,19320,12880,13880,11840,15080,15520,15280,11000,14920,14480,14040,14080,11080,17240,15400,36760,1960,193080,,,,,,,,,,,,
10,13800,14800,14720,12600,14400,13120,36440,14640,31720,13320,14440,12440,15440,12320,14520,14400,15280,15360,11480,14440,13840,12360,2320,225960,,,,,,,,,,,,
11,13440,15200,14520,14320,13720,13840,14040,11080,13640,18880,17280,15960,11160,14360,29200,19160,14760,14000,31520,12200,13400,14080,1760,191160,,,,,,,,,,,,
12,13120,24200,14080,16160,8920,31640,19760,14440,13680,14520,13680,10720,28440,13440,14720,13440,15080,14800,22960,29680,15800,17120,2440,257040,,,,,,,,,,,,
13,14040,15120,12680,13440,14680,41120,15040,15160,15320,14360,13600,14560,25480,16360,13960,13600,8240,15360,14040,10960,13000,15480,2120,207080,,,,,,,,,,,,
14,22160,16960,11960,14400,11600,15720,14600,12760,13600,28800,12200,37080,14360,19320,15080,13560,7280,15040,15600,13000,34200,15080,2840,341520,,,,,,,,,,,,
15,14760,15280,30000,14160,14320,14880,35920,27720,15440,10480,16440,30760,13240,14400,29120,24160,12920,12920,13400,27640,13720,13160,2120,255480,,,,,,,,,,,,
16,15400,13720,14440,14160,32640,14240,15080,13200,20320,13400,17520,14800,10560,11680,16320,13480,12520,13320,13680,26040,14120,14120,1960,210480,,,,,,,,,,,,
17,13560,14360,13480,10440,12880,12440,13160,13600,21680,13400,13160,12520,15480,12120,13920,13720,10080,13320,15280,5560,6120,26440,2320,228120,,,,,,,,,,,,
