,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.41,22.57,22.69,43.7,43.7,23.05,22.68,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/31/2023,12,21,33,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,24,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,19520,22800,19240,17080,21120,17320,3320,18120,11280,16680,16360,15120,13480,15240,12720,15040,26440,10400,13120,15440,13760,13280,3240,242240,,,,,,,,,,,,
6,22840,18800,19200,46440,17320,15800,16880,17880,17520,18720,10000,17120,15200,35240,16520,18880,14560,15120,13720,13720,11640,11840,2040,211600,,,,,,,,,,,,
7,20200,24360,22840,23320,12760,18120,17040,14040,16800,14880,19000,29080,16200,16000,17920,13400,10880,15200,15520,16840,14760,16600,2560,226200,,,,,,,,,,,,
8,19320,21840,22480,18440,15880,46160,30360,15120,8480,15240,18160,35560,18160,17680,16360,18880,17520,22560,13360,13960,13040,14800,2440,229240,,,,,,,,,,,,
9,18840,20920,21760,20640,49280,20000,17640,17080,16000,15840,18360,42200,18640,18080,14400,14480,32000,15760,15360,16920,14560,14040,3080,250920,,,,,,,,,,,,
10,18960,18680,21200,18960,18240,15880,15640,15120,18720,14840,17760,5680,15360,14960,37960,15680,23800,15360,15600,13160,12440,8880,6920,241120,,,,,,,,,,,,
11,19840,21560,23560,23760,18240,14680,17080,19080,17200,16600,18360,15920,18080,15520,15360,12280,35080,16640,15360,15560,14440,11880,2520,230920,,,,,,,,,,,,
12,22200,19480,18240,35920,19480,45840,17880,16440,14720,16160,40640,17720,12120,20360,2800,11640,15480,14280,20760,2680,14120,8040,3880,226400,,,,,,,,,,,,
13,22400,22360,23720,62480,21280,22520,20480,19400,18000,18400,41760,16920,10560,16560,7840,14800,15120,18520,15440,14760,14680,15080,2800,252480,,,,,,,,,,,,
14,19120,19680,43520,32040,19000,16040,14960,19000,14200,17560,13160,16120,12200,14440,22600,22120,22000,18960,13240,16720,8200,19600,3360,364520,,,,,,,,,,,,
15,19600,22920,20560,16280,10240,14080,20720,22840,55840,20720,10960,15640,11320,17080,16880,16880,19680,17600,11840,14800,17160,17840,2880,268840,,,,,,,,,,,,
16,18680,45960,18560,14480,17280,17160,26760,15080,36800,16080,15600,13960,10640,16000,15840,16280,39400,15200,13160,17400,28560,18320,2400,236960,,,,,,,,,,,,
17,20320,21480,24600,18560,18520,19120,22600,14840,42200,22080,14440,14960,17840,19480,21000,21200,20640,4800,19440,13480,20360,5120,2240,341760,,,,,,,,,,,,
18,18040,17640,19400,20960,18680,21600,41040,17760,16960,18000,15520,15840,16800,14200,15960,11200,15880,15480,18760,16440,21760,20880,3480,236160,,,,,,,,,,,,
19,19680,21080,23280,7680,18200,20960,21920,20760,18880,44640,24200,47600,20640,21680,20040,14400,11800,20000,24760,15320,26800,36080,2280,240200,,,,,,,,,,,,
20,17040,22600,19640,21040,18480,17720,18280,17200,19040,21440,35960,25160,18280,13720,19440,18040,20520,42640,24800,23480,33000,21320,2080,252240,,,,,,,,,,,,
21,Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Assay,ID,,,,,,2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Assay,Started,,,,,,8/31/2023,12,19,36,PM,,,,,,,,,,,,,,,,,,,,,,,,
24,Assay,Finished,,,,,,8/31/2023,12,21,47,PM,,,,,,,,,,,,,,,,,,,,,,,,
25,Assay,Exported,,,,,,8/31/2023,12,21,48,PM,,,,,,,,,,,,,,,,,,,,,,,,
26,Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Serial#,,,,,,"=""1040181""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Protocol,name,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Number,of,assay,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
