,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Plate,information
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,1,"""=""""""""""",14.37,21.69,22,43.3,42.9,22.75,22.68,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/30/2023,2,27,41,PM,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Pingping,US,LUM,384,(cps),0,20,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
5,22680,24240,23880,22240,26120,20080,18560,12280,18000,17200,26800,17080,15320,14280,15160,15360,13840,12600,10920,18000,12840,16720,1160,169160,,,,,,,,,,,,
6,17440,21160,59560,18920,15640,17400,17160,16200,49080,25200,16720,23760,16400,16800,21080,14600,15520,14240,17360,12040,10160,12560,1080,172960,,,,,,,,,,,,
7,19600,36000,18400,19640,18200,42480,14560,18200,16720,16760,20040,4400,13640,14800,43800,13120,15280,11120,10200,13320,15000,12480,1560,177320,,,,,,,,,,,,
8,19520,16840,16800,18360,47360,17240,26400,24120,36560,15560,10760,15880,14840,14760,16440,17080,25480,28400,16840,19560,13880,12160,1040,192920,,,,,,,,,,,,
9,17280,16840,32240,15360,16960,17080,7560,16640,15960,14320,19920,13720,6960,14280,13760,21560,16800,9120,17320,11240,11160,12320,1400,190400,,,,,,,,,,,,
10,19280,15200,14360,35880,15680,16320,16560,13560,16920,16840,15160,14960,46720,15320,31640,14680,15560,17440,14720,16080,19720,14640,1040,174160,,,,,,,,,,,,
11,15720,15280,15120,16240,29040,5800,14880,15800,16040,54440,33280,18680,44200,53960,10280,15960,15400,17520,22000,27760,7360,25080,1200,228760,,,,,,,,,,,,
12,15080,53040,25200,13760,15040,14880,11040,13800,15720,9040,15400,15560,16920,16000,18600,16880,13440,13320,15560,27400,15440,13960,1240,167080,,,,,,,,,,,,
13,14000,15600,16120,14040,13240,10480,12200,17800,18400,7920,14080,15920,42000,18000,16280,15080,11880,42440,15920,16760,14880,16400,920,172080,,,,,,,,,,,,
14,14080,15840,15920,15800,16280,18120,32800,16000,9320,16600,11800,42840,20240,4840,15840,15200,12040,13480,32240,14120,13840,13880,1000,177800,,,,,,,,,,,,
15,14280,14200,16320,15840,13880,17080,33440,14240,15320,20760,20120,15000,13960,15480,29120,13720,33320,38240,17680,24800,14400,13480,1120,172960,,,,,,,,,,,,
16,16080,15360,14160,28800,18560,15320,13280,10680,13880,16120,16720,13960,20160,19440,18840,15280,15760,15240,14080,16520,52360,14360,1040,166120,,,,,,,,,,,,
17,16720,15560,17160,14560,50800,14840,15160,14520,15240,32080,40600,16560,15560,35800,15640,16480,42880,14000,12600,6960,15680,27040,1000,159320,,,,,,,,,,,,
18,17000,14760,16000,15440,16040,15720,15200,37600,5320,12960,26920,33920,28600,16720,15280,12080,16000,29240,73040,14600,15280,26880,1080,169920,,,,,,,,,,,,
19,20760,33480,29200,16800,27360,14000,36520,30280,15720,22720,11640,15520,13480,34720,6360,19000,10000,15720,14080,17080,15840,22160,840,160400,,,,,,,,,,,,
20,15360,14440,15120,23280,18680,20240,13040,15560,12680,20520,12360,9800,13360,13240,16000,13400,14080,21720,10760,13600,13800,10480,960,154200,,,,,,,,,,,,
21,Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Assay,ID,,,,,,2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Assay,Started,,,,,,8/30/2023,2,26,09,PM,,,,,,,,,,,,,,,,,,,,,,,,
24,Assay,Finished,,,,,,8/30/2023,2,27,56,PM,,,,,,,,,,,,,,,,,,,,,,,,
25,Assay,Exported,,,,,,8/30/2023,2,27,56,PM,,,,,,,,,,,,,,,,,,,,,,,,
26,Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Serial#,,,,,,"=""1040181""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Protocol,name,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Number,of,assay,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Start,assay,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Number,of,plate,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Start,plate,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Is,label,meas.,height,used,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Height,of,measurement,,,,6.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Is,gripper,height,used,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Gripper,height,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Mode,of,measurement,,,,By,Rows,,bi-directional,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Rotated,plate,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Soft,move,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Protocol,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Plate,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Name,of,the,plate,type,,,,384,Greiner,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Number,of,rows,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Number,of,columns,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Number,of,the,wells,in,the,plate,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,
